sno,sna,sarea,lng,lat,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224
10,台北市災害應變中心,信義區,121.5661167,25.02866111,0.75,0.62,0.49,0.55,0.62,0.57,0.28,0.32,0.38,0.38,0.6,0.25,0.48,0.43,0.38,0.35,0.62,0.52,0.73,0.6,0.54,0.54,0.75,0.5,0.67,0.46,0.83,0.65,0.35,0.46,0.56,0.4,0.58,0.11,0.37,0.48,0.38,0.79,0.48,0.69,0.33,0.4,0.56,0.29,0.46,0.46,0.27,0.27,0.15,0.25,0.4,0.42,0.73,0.65,0.58,0.58,0.62,0.35,0.42,0.23,0.33,0.58,0.56,0.38,0.31,0.44,0.65,0.4,0.35,0.67,0.57,0.7,0.43,0.74,0.74,0.7,0.45,0.13,0.12,0.38,0.25,0.02,0.1,0.27,0.06,0.17,0.29,0.52,0.62,0.98,0.81,0.83,0.77,0.7,0.57,0.57,0.72,0.66,0.53,0.64,0.5,0.13,0.52,0.81,0.53,0.68,0.83,0.74,0.68,0.7,0.62,0.62,0.57,0.69,0.72,0.4,0.47,0.4,0.62,0.27,0.69,0.94,0.54,0.85,0.83,0.75
11,三張犁,信義區,121.55762,25.034937,0.72,0.23,0.03,0.03,0.05,0.08,0.12,0.03,0.17,0.26,0.23,0.23,0.41,0.55,0.42,0.59,0.74,0.8,0.85,0.23,0.21,0.09,0.02,0,0.14,0.11,0.12,0.11,0.08,0.23,0.35,0.44,0.32,0.59,0.86,0.89,0.89,0.12,0.3,0.24,0.29,0.11,0.14,0.14,0.17,0.18,0.18,0.23,0.11,0.27,0.11,0.39,0.64,0.73,0.61,0.53,0.18,0.11,0.09,0.23,0.42,0.38,0.35,0.2,0.06,0.2,0.33,0.53,0.5,0.45,0.8,0.78,0.75,0.41,0.53,0.45,0.36,0.33,0.18,0.14,0.17,0.12,0.24,0.2,0.26,0.24,0.23,0.24,0.55,0.64,0.86,0.36,0.17,0.16,0.15,0.14,0.29,0.23,0.23,0.15,0.21,0.15,0.14,0.18,0.39,0.77,0.82,0.89,0.86,0.44,0.12,0.15,0.11,0.15,0.11,0,0.17,0.27,0.18,0.12,0.08,0.21,0.36,0.61,0.76,0.82
12,臺北醫學大學,信義區,121.561747,25.026679,0.11,0.91,0.56,0.45,0.4,0.32,0.23,0.15,0.34,0.32,0,0.06,0.68,0.61,0.83,0.89,0.46,0.72,0.3,0.37,0.43,0.38,0.37,0.29,0.24,0.5,0.65,0.76,0.15,0.79,0.7,0.94,0.64,0.57,0.79,0.87,0.47,0.72,0.48,0.52,0.67,0.83,0.81,0.75,0.79,0.75,0.48,0.27,0.12,0.21,0.32,0.26,0.5,0.56,0.19,0.31,0.9,0.62,0.69,0.58,0.4,0.02,0.44,0.34,0.02,0.12,0.02,0.29,0.15,0.19,0.44,0.5,0.23,0.4,0.35,0.44,0.54,0.23,0.44,0.17,0.17,0.23,0.19,0.1,0.02,0.06,0.17,0.21,0.28,0.51,0.28,0.38,0.28,0.33,0.39,0.43,0.48,0.54,0.54,0.92,0.6,0.23,0.19,0.56,0.08,0.12,0.15,0.33,0.31,0.58,0.46,0.52,0.33,0.35,0.33,0.58,0.67,0.9,0.54,0.12,0.35,0.55,0.33,0.61,0.63,0.72
13,福德公園,信義區,121.58367,25.03809,0.6,0.45,0.16,0.34,0.41,0.41,0.4,0.33,0.26,0.24,0.26,0.33,0.66,0.31,0.43,0.33,0.69,0.79,0.38,0.64,0.4,0.4,0.21,0.05,0.24,0.29,0.22,0.22,0.21,0.34,0.58,0.63,0.09,0.41,0.83,0.34,0.47,0.26,0.34,0.62,0.62,0.52,0.53,0.45,0.36,0.38,0.43,0.43,0.41,0.53,0.21,0.36,0.69,0.48,0.55,0.41,0.38,0.74,0.6,0.53,0.48,0.41,0.47,0.43,0.38,0.28,0.29,0.28,0.29,0.26,0.5,0.41,0.45,0.84,0.74,0.74,0.74,0.66,0.62,0.59,0.43,0.45,0.38,0,0.07,0.19,0.48,0.36,0.52,0.36,0.33,0.6,0.12,0.33,0.38,0.45,0.5,0.41,0.5,0.43,0.52,0.53,0.79,0.21,0.3,0.4,0.55,0.45,0.48,0.36,0.41,0.22,0.83,0.74,0.67,0.6,0.62,0.53,0.47,0.6,0.66,0.47,0.59,0.41,0.6,0.41
14,榮星花園,中山區,121.54037,25.06424,0.38,0.78,0.56,0.28,0.03,0.09,0.12,0.06,0,0,0.16,0.16,0.06,0.22,0.5,0.59,0.94,0.66,0.62,0.44,0,0.03,0.12,0.16,0.12,0.03,0.19,0.06,0.09,0.91,0.12,0.44,0.62,0.69,0.5,0.16,0.72,0.69,0.5,0.29,0.31,0.25,0.28,0.28,0.28,0.16,0.38,0.19,0.66,0.28,0.06,0.12,0.41,0.84,0.84,0.5,0.12,0.56,0.53,0.28,0.19,0.03,0.03,0.03,0.12,0.16,0.5,0.06,0,0.97,0.56,0.94,0.75,0.66,0.72,0.41,0.78,0.41,0.31,0.19,0.34,0.19,0.19,0.29,0.72,0.12,0.38,0.78,0.22,0.81,0.38,0.72,0.56,0.22,0.25,0.25,0.28,0.16,0,0.12,0.09,0.53,0.12,0.78,0.16,0.81,0.28,0.41,0.44,0.72,0.66,0.56,0.5,0.41,0.5,0.38,0.28,0.34,0.19,0.56,0.25,0.19,0.81,0.28,0.94,0.81
15,饒河夜市,松山區,121.571885,25.049845,0.7,0.55,0.43,0.33,0.2,0.13,0.12,0.08,0.38,0.45,0.45,0.3,0.22,0.47,0.6,0.77,0.9,0.75,0.6,0.45,0.5,0.47,0.35,0.25,0.3,0.28,0.42,0.48,0.32,0.43,0.55,0.63,0.75,0.85,0.83,0.9,0.65,0.39,0.44,0.39,0.27,0.27,0.27,0.3,0.35,0.32,0.27,0.25,0.23,0.47,0.47,0.53,0.72,0.77,0.67,0.65,0.72,0.68,0.72,0.58,0.47,0.55,0.52,0.5,0.52,0.54,0.58,0.49,0.44,0.44,0.58,0.36,0.68,0.61,0.54,0.58,0.61,0.59,0.68,0.56,0.54,0.53,0.44,0.59,0.51,0.54,0.61,0.56,0.68,0.76,0.71,0.54,0.61,0.47,0.45,0.43,0.47,0.55,0.28,0.33,0.22,0.24,0.28,0.59,0.59,0.59,0.76,0.86,0.71,0.25,0.37,0.39,0.37,0.28,0.22,0.17,0.23,0.25,0.28,0.25,0.5,0.75,0.7,0.88,0.83,0.87
16,松山家商,信義區,121.579135,25.036084,0.54,0.65,0.58,0.58,0.4,0.29,0.15,0.06,0.25,0,0.12,0.1,0.12,0.46,0.46,0.58,0.83,0.7,0.35,0.35,0.29,0.17,0.21,0.12,0.17,0.44,0.5,0.12,0,0.31,0.48,0.44,0.6,0.29,0.58,0.67,0.5,0.44,0.38,0.33,0.21,0.21,0.08,0.12,0.21,0.08,0.06,0.1,0.08,0.19,0.25,0.42,0.6,0.71,0.42,0.48,0.5,0.58,0.54,0.48,0.21,0.21,0.25,0.08,0,0.1,0.1,0.04,0.28,0.23,0.46,0.54,0.52,0.42,0.33,0.27,0.23,0.17,0.19,0.12,0.15,0.19,0.02,0.1,0.1,0.1,0.27,0.48,0.9,0.88,0.69,0.92,0.69,0.77,0.65,0.56,0.56,0.5,0.44,0.02,0.02,0.02,0.13,0.28,0.45,0.6,0.72,0.8,0.72,0.98,0.59,0.7,0.53,0.43,0.63,0.76,0.7,0.52,0.11,0.11,0.04,0.32,0.43,0.76,0.83,0.77
17,民生光復路口,松山區,121.55514,25.05862,0.06,0.26,0.79,0.53,0.59,0.38,0.12,0.41,0.53,0.35,0.09,0.24,0.03,0.09,0.03,0.06,0.06,0.12,0.26,0.35,0.47,0.47,0.47,0.09,0.15,0.3,0.39,0.27,0.56,0.18,0,0.09,0.32,0.35,0.29,0.29,0.15,0.38,0.24,0.47,0.35,0.21,0.24,0.5,0.41,0.41,0.82,0.59,0.53,0.85,0.5,0.47,0.56,0.79,0.56,0.5,0.74,0.82,0.82,0.74,0.68,0.5,0.53,0.41,0.38,0.38,0.68,0.56,0.44,0.24,0.32,0.5,0.53,0.44,0.35,0.24,0.21,0.47,0.53,0.59,0.68,0.68,0.88,0.85,0.79,0.88,0.5,0.5,0.59,0.74,0.41,0.85,0.62,0.44,0.5,0.5,0.21,0.35,0.35,0.18,0.42,0.3,0.52,0.76,0.66,0.62,0.75,0.81,0.25,0.44,0.81,0.45,0.39,0.27,0.42,0.35,0.29,0.21,0.41,0.32,0.36,0.27,0.24,0.15,0.21,0.21
18,臺北市藝文推廣處,松山區,121.552278,25.048268,0.46,0.49,0.28,0.46,0.27,0.32,0.16,0.08,0.05,0.08,0.18,0.37,0.63,0.55,0.63,0.39,0.11,0.21,0.24,0.03,0.03,0.11,0.08,0.32,0.55,0.32,0.13,0.21,0.18,0.68,0.82,0.76,0.29,0.05,0.16,0.21,0.45,0.39,0.39,0.37,0.45,0.42,0.45,0.34,0.39,0.32,0.21,0.24,0.16,0.26,0.13,0.08,0.29,0.39,0.5,0.61,0.68,0.42,0.45,0.55,0.37,0.32,0.5,0.5,0.21,0.42,0.58,0.24,0.26,0.29,0.34,0.29,0.53,0.68,0.5,0.29,0.47,0.65,0.43,0.45,0.92,0.92,0.55,0.45,0.45,0.49,0.5,0.29,0.32,0.39,0.39,0.37,0.16,0.79,0.71,0.39,0.32,0.58,0.53,0.53,0.32,0.76,0.53,0.37,0.29,0.13,0.32,0.34,0.32,0.37,0.29,0.26,0.29,0.16,0.13,0.39,0.55,0.45,0.74,0.58,0.76,0.97,0.58,0.37,0.32,0.29
19,象山公園,信義區,121.56981,25.02863,0.79,0.14,0.62,0.62,0.93,0.55,0.34,0.63,0.73,0.97,0.83,0.1,0.2,0.2,0.03,0.37,0.03,0.3,0.17,0.97,0.37,0.43,0.67,0.2,0.43,0.07,0.13,0.73,0.57,0.07,0.03,0.1,0.17,0.2,0.2,0.13,0.4,0.63,0.53,0.43,0.6,0.27,0.07,0.47,0.53,0.53,0.37,0.63,0.17,0.03,0.3,0.4,0.5,0.1,0.43,0.69,0.62,0.72,0.9,0.73,0.53,0.53,0.63,0.33,0.53,0.23,0,0.41,0.72,0.38,0.45,0.5,0.45,0.69,0.41,0.59,0.53,0.57,0.2,0,0.1,0.83,0.7,0.87,0.7,0.27,0.8,0.6,0.2,0.07,0.3,0.17,0.83,0.57,0.76,0.63,0.67,0.93,0.7,0.7,0.53,0.33,0.5,0.03,0.27,0.27,0.13,0.03,0.17,0.3,0.83,0.53,0.9,0,0.13,0.33,0.37,0.33,0.33,0.4,0.27,0.03,0,0.07,0.23,0.07
